"Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","Barangay_Count","BarangayArea","PopulationDensity"
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","SULU","JOLO (Capital)","Bus-bus",36650,36650,5144,36650.95,2490,14.7192570281124,2489.93545869889
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","BULUAN","Poblacion",25370,25294,3566,36650.95,2490,14.7192570281124,1723.59243075555
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","SULU","JOLO (Capital)","Asturias",23085,23076,3324,36650.95,2490,14.7192570281124,1568.35361702766
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","SULU","PATIKUL","Anuling",17504,17504,2628,36650.95,2490,14.7192570281124,1189.19045754612
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","PARANG","Landasan (Sarmiento)",16971,16971,3272,36650.95,2490,14.7192570281124,1152.97939071156
"CORDILLERA ADMINISTRATIVE REGION","BENGUET","BAGUIO CITY","Irisan",30507,30339,7466,19818.12,1176,16.8521428571429,1810.27423388293
"CORDILLERA ADMINISTRATIVE REGION","BENGUET","LA TRINIDAD (Capital)","Pico",23282,23175,6297,19818.12,1176,16.8521428571429,1381.54537362777
"CORDILLERA ADMINISTRATIVE REGION","KALINGA","CITY OF TABUK (Capital)","Bulanao",19636,19369,4128,19818.12,1176,16.8521428571429,1165.19306573984
"CORDILLERA ADMINISTRATIVE REGION","BENGUET","LA TRINIDAD (Capital)","Balili",18962,18798,5728,19818.12,1176,16.8521428571429,1125.19815199424
"CORDILLERA ADMINISTRATIVE REGION","BENGUET","LA TRINIDAD (Capital)","Poblacion",13196,12886,3185,19818.12,1176,16.8521428571429,783.045818675031
"MIMAROPA REGION","PALAWAN","PUERTO PRINCESA CITY (CAPITAL)","San Pedro",22089,22038,5538,29606.25,1458,20.3060699588477,1087.80281190627
"MIMAROPA REGION","PALAWAN","BATARAZA","Rio Tuba",21330,21058,5657,29606.25,1458,20.3060699588477,1050.42482583914
"MIMAROPA REGION","PALAWAN","PUERTO PRINCESA CITY (CAPITAL)","Santa Monica",20094,19559,5445,29606.25,1458,20.3060699588477,989.556326789107
"MIMAROPA REGION","PALAWAN","PUERTO PRINCESA CITY (CAPITAL)","San Miguel",19649,19649,4793,29606.25,1458,20.3060699588477,967.641697276757
"MIMAROPA REGION","PALAWAN","PUERTO PRINCESA CITY (CAPITAL)","San Jose",17521,17511,4248,29606.25,1458,20.3060699588477,862.845446485117
"NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","CALOOCAN CITY","Barangay 176",246515,246439,55086,619.54,1704,0.363579812206573,678021.693514543
"NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","QUEZON CITY","Commonwealth",198285,198235,45432,619.54,1704,0.363579812206573,545368.563773122
"NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","QUEZON CITY","Batasan Hills",161409,161352,34587,619.54,1704,0.363579812206573,443943.790554282
"NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","CITY OF PASIG","Pinagbuhatan",151979,150800,33720,619.54,1704,0.363579812206573,418007.256997127
"NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","QUEZON CITY","Payatas",130333,130277,28152,619.54,1704,0.363579812206573,358471.498208348
"NEGROS ISLAND REGION","NEGROS OCCIDENTAL","BACOLOD CITY (Capital)","Mansilingan",45181,45130,10404,13425.4,1219,11.0134536505332,4102.34622432106
